timestamp,interface,can_id,data,label
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x36,00 00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
2025-08-08 15:59:06,can0,0x131,00,stealth
2025-08-08 15:59:06,can0,0x141,00,stealth
2025-08-08 15:59:06,can0,0x26,11 11,stealth
